perturbation_size,standard,weighted,or_dual
0,0.7162162162162162,0.7162162162162162,0.7162162162162162
1,0.7162162162162162,0.7081081081081081,0.7162162162162162
2,0.7135135135135136,0.6972972972972973,0.7135135135135136
3,0.7054054054054054,0.6891891891891891,0.7054054054054054
4,0.6972972972972973,0.6810810810810811,0.6972972972972973
5,0.6945945945945946,0.6702702702702703,0.6945945945945946
6,0.6837837837837838,0.6648648648648648,0.6837837837837838
7,0.6810810810810811,0.6513513513513514,0.6810810810810811
8,0.6756756756756757,0.6351351351351351,0.6756756756756757
9,0.6675675675675675,0.6,0.6675675675675675
10,0.6621621621621622,0.47297297297297297,0.6621621621621622
11,0.654054054054054,0.24324324324324326,0.654054054054054
12,0.6459459459459459,0.17567567567567569,0.6459459459459459
13,0.6324324324324324,0.11351351351351352,0.6324324324324324
14,0.5837837837837838,0.0,0.5837837837837838
15,0.3972972972972973,0.0,0.3972972972972973
16,0.0,0.0,0.0
