perturbation_size,T10,T30,T50
0,0.6620437956204379,0.6642335766423357,0.6664233576642336
1,0.6496350364963503,0.6635036496350365,0.6664233576642336
2,0.6364963503649635,0.6635036496350365,0.6664233576642336
3,0.6248175182481752,0.6635036496350365,0.6664233576642336
4,0.6014598540145986,0.6635036496350365,0.6664233576642336
5,0.3248175182481752,0.6635036496350365,0.6664233576642336
6,0.0,0.6605839416058394,0.6656934306569343
7,0.0,0.6598540145985401,0.6649635036496351
8,0.0,0.6554744525547446,0.6635036496350365
9,0.0,0.6518248175182482,0.6627737226277373
10,0.0,0.6474452554744525,0.6620437956204379
11,0.0,0.6416058394160584,0.6598540145985401
12,0.0,0.6343065693430657,0.6591240875912409
13,0.0,0.6233576642335766,0.6583941605839416
14,0.0,0.6102189781021898,0.6583941605839416
15,0.0,0.33211678832116787,0.6576642335766424
16,0.0,0.0,0.654014598540146
