perturbation_size,T10,T30,T50
0,0.7314870559903672,0.7700180614087899,0.7278747742323901
1,0.724262492474413,0.7658037326911499,0.7254665863937387
2,0.7134256472004816,0.7621914509331728,0.7224563515954244
3,0.7049969897652016,0.7597832630945214,0.7188440698374473
4,0.6911499096929561,0.7567730282962071,0.7188440698374473
5,0.40337146297411197,0.7537627934978929,0.7164358819987959
6,0.0,0.7519566526189043,0.7122215532811559
7,0.0,0.7477423239012643,0.7110174593618303
8,0.0,0.7423239012642986,0.7068031306441902
9,0.0,0.7387116195063215,0.7043949428055388
10,0.0,0.7338952438290187,0.7025888019265503
11,0.0,0.7260686333534015,0.6977724262492474
12,0.0,0.7164358819987959,0.6941601444912703
13,0.0,0.7110174593618303,0.6899458157736303
14,0.0,0.6917519566526189,0.6881396748946418
15,0.0,0.38290186634557494,0.686935580975316
16,0.0,0.0,0.6821192052980133
