perturbation_size,T10,T30,T50
0,0.5213726670680313,0.5213726670680313,0.5213726670680313
1,0.5213726670680313,0.5213726670680313,0.5213726670680313
2,0.5213726670680313,0.5213726670680313,0.5213726670680313
3,0.5213726670680313,0.5213726670680313,0.5213726670680313
4,0.5213726670680313,0.5213726670680313,0.5213726670680313
5,0.5213726670680313,0.5213726670680313,0.5213726670680313
6,0.0,0.5213726670680313,0.5213726670680313
7,0.0,0.5213726670680313,0.5213726670680313
8,0.0,0.5213726670680313,0.5213726670680313
9,0.0,0.5213726670680313,0.5213726670680313
10,0.0,0.5213726670680313,0.5213726670680313
11,0.0,0.5213726670680313,0.5213726670680313
12,0.0,0.5213726670680313,0.5213726670680313
13,0.0,0.5213726670680313,0.5213726670680313
14,0.0,0.5213726670680313,0.5213726670680313
15,0.0,0.5213726670680313,0.5213726670680313
16,0.0,0.0,0.5213726670680313
