perturbation_size,standard,weighted,or_dual
0,0.7850692354003612,0.7790487658037327,0.7850692354003612
1,0.7796508127633955,0.7742323901264299,0.7796508127633955
2,0.7760385310054184,0.7639975918121613,0.7760385310054184
3,0.7700180614087899,0.7519566526189043,0.7700180614087899
4,0.7627934978928357,0.7417218543046358,0.7627934978928357
5,0.7549668874172185,0.7308850090307044,0.7549668874172185
6,0.7507525586995786,0.7128236002408188,0.7507525586995786
7,0.7441300421432872,0.6941601444912703,0.7441300421432872
8,0.7338952438290187,0.6694762191450934,0.7338952438290187
9,0.7230583985550872,0.633353401565322,0.7230583985550872
10,0.7110174593618303,0.5972305839855508,0.7110174593618303
11,0.6959662853702588,0.5328115593016255,0.6959662853702588
12,0.679108970499699,0.41782059000602045,0.679108970499699
13,0.6598434677904876,0.2805538832028898,0.6598434677904876
14,0.6315472606863335,0.0,0.6315472606863335
15,0.3383503913305238,0.0,0.3383503913305238
16,0.0,0.0,0.0
