perturbation_size,T10,T30,T50
0,0.7608142493638677,0.7684478371501272,0.7684478371501272
1,0.7608142493638677,0.7684478371501272,0.7684478371501272
2,0.7480916030534351,0.7684478371501272,0.7684478371501272
3,0.7379134860050891,0.7684478371501272,0.7684478371501272
4,0.7073791348600509,0.7633587786259542,0.7684478371501272
5,0.4198473282442748,0.7633587786259542,0.7684478371501272
6,0.0,0.7633587786259542,0.7684478371501272
7,0.0,0.7633587786259542,0.7684478371501272
8,0.0,0.7633587786259542,0.7684478371501272
9,0.0,0.7633587786259542,0.7684478371501272
10,0.0,0.7557251908396947,0.7684478371501272
11,0.0,0.7480916030534351,0.7684478371501272
12,0.0,0.7455470737913485,0.7684478371501272
13,0.0,0.7430025445292621,0.7684478371501272
14,0.0,0.7379134860050891,0.7684478371501272
15,0.0,0.44274809160305345,0.7659033078880407
16,0.0,0.0,0.7659033078880407
