perturbation_size,T10,T30,T50
0,0.7351351351351352,0.7216216216216216,0.7297297297297297
1,0.727027027027027,0.7189189189189189,0.727027027027027
2,0.7135135135135136,0.7189189189189189,0.727027027027027
3,0.6891891891891891,0.7189189189189189,0.727027027027027
4,0.6594594594594595,0.7135135135135136,0.727027027027027
5,0.43783783783783786,0.7108108108108108,0.727027027027027
6,0.0,0.7054054054054054,0.727027027027027
7,0.0,0.7,0.727027027027027
8,0.0,0.6945945945945946,0.727027027027027
9,0.0,0.6837837837837838,0.7243243243243244
10,0.0,0.6783783783783783,0.7216216216216216
11,0.0,0.6648648648648648,0.7216216216216216
12,0.0,0.6594594594594595,0.7216216216216216
13,0.0,0.6486486486486487,0.7216216216216216
14,0.0,0.6351351351351351,0.7189189189189189
15,0.0,0.4189189189189189,0.7162162162162162
16,0.0,0.0,0.7162162162162162
