perturbation_size,lm_0.0,lm_0.5,lm_1.0,lm_2.0
0,0.7189189189189189,0.7189189189189189,0.7297297297297297,0.7135135135135136
1,0.7189189189189189,0.7162162162162162,0.7297297297297297,0.7135135135135136
2,0.7162162162162162,0.7162162162162162,0.7297297297297297,0.7081081081081081
3,0.7108108108108108,0.7135135135135136,0.7243243243243244,0.7054054054054054
4,0.7081081081081081,0.7108108108108108,0.7216216216216216,0.7027027027027027
5,0.7,0.7108108108108108,0.7162162162162162,0.7
6,0.7,0.7108108108108108,0.7135135135135136,0.6972972972972973
7,0.6945945945945946,0.7054054054054054,0.7081081081081081,0.6837837837837838
8,0.6918918918918919,0.7054054054054054,0.7027027027027027,0.6810810810810811
9,0.6837837837837838,0.7,0.6945945945945946,0.6756756756756757
10,0.672972972972973,0.6972972972972973,0.6864864864864865,0.6702702702702703
11,0.6648648648648648,0.6837837837837838,0.6837837837837838,0.6648648648648648
12,0.6594594594594595,0.6756756756756757,0.6675675675675675,0.6594594594594595
13,0.6432432432432432,0.6675675675675675,0.6621621621621622,0.6459459459459459
14,0.6189189189189189,0.654054054054054,0.6486486486486487,0.6243243243243243
15,0.4189189189189189,0.4297297297297297,0.43513513513513513,0.43243243243243246
16,0.0,0.0,0.0,0.0
