perturbation_size,standard,weighted,or_dual
0,0.9206349206349206,0.9206349206349206,0.9206349206349206
1,0.9206349206349206,0.9206349206349206,0.9206349206349206
2,0.9206349206349206,0.9206349206349206,0.9206349206349206
3,0.9206349206349206,0.9047619047619048,0.9206349206349206
4,0.9206349206349206,0.9047619047619048,0.9206349206349206
5,0.9047619047619048,0.9047619047619048,0.9047619047619048
6,0.9047619047619048,0.9047619047619048,0.9047619047619048
7,0.9047619047619048,0.9047619047619048,0.9047619047619048
8,0.9047619047619048,0.9047619047619048,0.9047619047619048
9,0.9047619047619048,0.8888888888888888,0.9047619047619048
10,0.9047619047619048,0.8412698412698413,0.9047619047619048
11,0.9047619047619048,0.6666666666666666,0.9047619047619048
12,0.9047619047619048,0.47619047619047616,0.9047619047619048
13,0.9047619047619048,0.2698412698412698,0.9047619047619048
14,0.8571428571428571,0.0,0.8571428571428571
15,0.6190476190476191,0.0,0.6190476190476191
16,0.0,0.0,0.0
