perturbation_size,GIN,GCN,GAT
0,0.7724262492474413,0.6754966887417219,0.7188440698374473
1,0.7688139674894642,0.674894641782059,0.7188440698374473
2,0.7670078266104756,0.6730885009030705,0.7182420228777845
3,0.7621914509331728,0.6730885009030705,0.7182420228777845
4,0.7591812161348586,0.6712823600240819,0.7182420228777845
5,0.7579771222155328,0.6688741721854304,0.7182420228777845
6,0.75316074653823,0.6682721252257676,0.7182420228777845
7,0.7501505117399158,0.6664659843467791,0.7164358819987959
8,0.7477423239012643,0.6628537025888019,0.715833835039133
9,0.7435279951836243,0.658639373871162,0.7134256472004816
10,0.7369054786273329,0.6562311860325105,0.7116195063214931
11,0.7332931968693558,0.6532209512341962,0.7116195063214931
12,0.7272727272727273,0.6465984346779049,0.7098133654425045
13,0.720048163756773,0.6411800120409392,0.7092113184828417
14,0.7013847080072245,0.633955448524985,0.7062010836845274
15,0.3973509933774834,0.4105960264900662,0.39434075857916917
16,0.0,0.0,0.0
