perturbation_size,murmur3,md5,sha1,sha256
0,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
1,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
2,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
3,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
4,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
5,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
6,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
7,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
8,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
9,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
10,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
11,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
12,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
13,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
14,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
15,0.5213726670680313,0.5213726670680313,0.5213726670680313,0.5213726670680313
16,0.0,0.0,0.0,0.0
