perturbation_size,T10,T30,T50
0,0.29,0.335,0.405
1,0.285,0.335,0.405
2,0.285,0.335,0.405
3,0.285,0.335,0.405
4,0.28,0.335,0.405
5,0.01,0.335,0.405
6,0.0,0.335,0.405
7,0.0,0.335,0.405
8,0.0,0.335,0.405
9,0.0,0.335,0.405
10,0.0,0.335,0.405
11,0.0,0.335,0.405
12,0.0,0.335,0.405
13,0.0,0.335,0.405
14,0.0,0.335,0.405
15,0.0,0.015,0.405
16,0.0,0.0,0.405
