perturbation_size,with_subgraph,without_subgraph
0,0.7351351351351352,0.40540540540540543
1,0.7351351351351352,0.40540540540540543
2,0.7351351351351352,0.40540540540540543
3,0.7324324324324324,0.40540540540540543
4,0.7324324324324324,0.40540540540540543
5,0.727027027027027,0.40540540540540543
6,0.7243243243243244,0.40540540540540543
7,0.7162162162162162,0.40540540540540543
8,0.7135135135135136,0.40540540540540543
9,0.7135135135135136,0.40540540540540543
10,0.7081081081081081,0.40540540540540543
11,0.7054054054054054,0.40540540540540543
12,0.6918918918918919,0.40540540540540543
13,0.6810810810810811,0.40540540540540543
14,0.6702702702702703,0.40540540540540543
15,0.4594594594594595,0.0
16,0.0,0.0
