perturbation_size,GIN,GCN,GAT
0,0.7162162162162162,0.7162162162162162,0.7054054054054054
1,0.7162162162162162,0.7135135135135136,0.6972972972972973
2,0.7162162162162162,0.7135135135135136,0.6945945945945946
3,0.7108108108108108,0.7135135135135136,0.6918918918918919
4,0.7108108108108108,0.7135135135135136,0.6891891891891891
5,0.7081081081081081,0.7108108108108108,0.6810810810810811
6,0.7081081081081081,0.7081081081081081,0.6783783783783783
7,0.7027027027027027,0.7054054054054054,0.6783783783783783
8,0.7,0.7054054054054054,0.6783783783783783
9,0.6945945945945946,0.7,0.672972972972973
10,0.6837837837837838,0.7,0.6648648648648648
11,0.672972972972973,0.6972972972972973,0.654054054054054
12,0.6675675675675675,0.6918918918918919,0.654054054054054
13,0.6594594594594595,0.6864864864864865,0.6459459459459459
14,0.6486486486486487,0.6783783783783783,0.6351351351351351
15,0.43783783783783786,0.47297297297297297,0.4081081081081081
16,0.0,0.0,0.0
