perturbation_size,GIN,GCN,GAT
0,0.6649635036496351,0.6678832116788321,0.656934306569343
1,0.6635036496350365,0.6678832116788321,0.656934306569343
2,0.6627737226277373,0.6678832116788321,0.656934306569343
3,0.6605839416058394,0.6678832116788321,0.656934306569343
4,0.6598540145985401,0.6678832116788321,0.656934306569343
5,0.6576642335766424,0.6671532846715329,0.6547445255474452
6,0.6562043795620438,0.6664233576642336,0.6532846715328468
7,0.654014598540146,0.6664233576642336,0.6481751824817519
8,0.6518248175182482,0.6642335766423357,0.6459854014598541
9,0.6489051094890511,0.6583941605839416,0.6416058394160584
10,0.6408759124087591,0.654014598540146,0.6386861313868614
11,0.635036496350365,0.6452554744525547,0.6364963503649635
12,0.6284671532846715,0.6321167883211679,0.6343065693430657
13,0.6153284671532847,0.6233576642335766,0.627007299270073
14,0.5956204379562043,0.6102189781021898,0.6116788321167883
15,0.32262773722627736,0.3029197080291971,0.32408759124087594
16,0.0,0.0,0.0
