perturbation_size,with_subgraph,without_subgraph
0,0.9206349206349206,0.3333333333333333
1,0.9206349206349206,0.3333333333333333
2,0.9206349206349206,0.3333333333333333
3,0.9206349206349206,0.3333333333333333
4,0.9206349206349206,0.3333333333333333
5,0.9206349206349206,0.3333333333333333
6,0.9206349206349206,0.3333333333333333
7,0.9206349206349206,0.3333333333333333
8,0.9206349206349206,0.3333333333333333
9,0.9206349206349206,0.3333333333333333
10,0.9206349206349206,0.3333333333333333
11,0.9047619047619048,0.3333333333333333
12,0.9047619047619048,0.3333333333333333
13,0.9047619047619048,0.3333333333333333
14,0.9047619047619048,0.3333333333333333
15,0.6190476190476191,0.0
16,0.0,0.0
