perturbation_size,lm_0.0,lm_0.5,lm_1.0,lm_2.0
0,0.9206349206349206,0.9047619047619048,0.9206349206349206,0.9206349206349206
1,0.9206349206349206,0.9047619047619048,0.9206349206349206,0.9206349206349206
2,0.9206349206349206,0.9047619047619048,0.9206349206349206,0.9206349206349206
3,0.9206349206349206,0.9047619047619048,0.9206349206349206,0.9206349206349206
4,0.9206349206349206,0.8888888888888888,0.9047619047619048,0.9047619047619048
5,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
6,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
7,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
8,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
9,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
10,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
11,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
12,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
13,0.9047619047619048,0.8888888888888888,0.9047619047619048,0.8888888888888888
14,0.8571428571428571,0.8888888888888888,0.8571428571428571,0.8888888888888888
15,0.6190476190476191,0.6190476190476191,0.6349206349206349,0.6349206349206349
16,0.0,0.0,0.0,0.0
