perturbation_size,standard,weighted,or_dual
0,0.6635036496350365,0.6635036496350365,0.6635036496350365
1,0.6635036496350365,0.6635036496350365,0.6635036496350365
2,0.6635036496350365,0.6635036496350365,0.6635036496350365
3,0.6635036496350365,0.6613138686131387,0.6635036496350365
4,0.6635036496350365,0.6598540145985401,0.6635036496350365
5,0.6635036496350365,0.656934306569343,0.6635036496350365
6,0.6620437956204379,0.654014598540146,0.6620437956204379
7,0.6605839416058394,0.6481751824817519,0.6605839416058394
8,0.6598540145985401,0.6357664233576642,0.6598540145985401
9,0.6562043795620438,0.6167883211678832,0.6562043795620438
10,0.6547445255474452,0.4583941605839416,0.6547445255474452
11,0.6503649635036496,0.21094890510948905,0.6503649635036496
12,0.6481751824817519,0.10145985401459855,0.6481751824817519
13,0.6386861313868614,0.04452554744525548,0.6386861313868614
14,0.627007299270073,0.0,0.627007299270073
15,0.345985401459854,0.0,0.345985401459854
16,0.0,0.0,0.0
