perturbation_size,lm_0.0,lm_0.5,lm_1.0,lm_2.0
0,0.7709923664122137,0.7659033078880407,0.7735368956743003,0.7608142493638677
1,0.7684478371501272,0.7633587786259542,0.7709923664122137,0.7608142493638677
2,0.7684478371501272,0.7633587786259542,0.7659033078880407,0.7608142493638677
3,0.7633587786259542,0.7633587786259542,0.7659033078880407,0.7582697201017812
4,0.7582697201017812,0.7633587786259542,0.7633587786259542,0.7582697201017812
5,0.7557251908396947,0.7608142493638677,0.7633587786259542,0.7582697201017812
6,0.7480916030534351,0.7582697201017812,0.7633587786259542,0.7582697201017812
7,0.7480916030534351,0.7557251908396947,0.7608142493638677,0.7557251908396947
8,0.7404580152671756,0.7506361323155216,0.7608142493638677,0.7531806615776081
9,0.7353689567430025,0.7480916030534351,0.7608142493638677,0.7506361323155216
10,0.7302798982188295,0.7430025445292621,0.7506361323155216,0.7455470737913485
11,0.727735368956743,0.7404580152671756,0.7455470737913485,0.7404580152671756
12,0.72264631043257,0.7379134860050891,0.7430025445292621,0.732824427480916
13,0.7175572519083969,0.7353689567430025,0.7404580152671756,0.727735368956743
14,0.7099236641221374,0.72264631043257,0.732824427480916,0.7150127226463104
15,0.4351145038167939,0.4300254452926209,0.4351145038167939,0.4122137404580153
16,0.0,0.0,0.0,0.0
